q_test,t_risk,j_pred
0.0,1.0,1.0974286598298082
0.0,0.9,0.9687218048127003
0.0,0.8,0.7292813610313142
0.0,0.7000000000000001,0.49104883659283444
0.0,0.6000000000000001,0.2208735848722959
0.0,0.5,0.0
0.0,0.4,0.0
0.0,0.30000000000000004,0.0
0.0,0.2,0.0
0.0,0.1,0.0
0.0,0.0,0.0
0.1,1.0,327.7794028178541
0.1,0.9,1.1651691104119857
0.1,0.8,0.7746557539682424
0.1,0.7000000000000001,0.5776100070846952
0.1,0.6000000000000001,0.24840852778657174
0.1,0.5,0.0
0.1,0.4,0.0
0.1,0.30000000000000004,0.0
0.1,0.2,0.0
0.1,0.1,0.0
0.1,0.0,0.0
0.2,1.0,2680.7486616500396
0.2,0.9,2.722512059016085
0.2,0.8,1.0119818475255273
0.2,0.7000000000000001,0.626511891676502
0.2,0.6000000000000001,0.276423303373786
0.2,0.5,0.0
0.2,0.4,0.0
0.2,0.30000000000000004,0.0
0.2,0.2,0.0
0.2,0.1,0.0
0.2,0.0,0.0
0.30000000000000004,1.0,4266.025561681395
0.30000000000000004,0.9,1628.3075519891468
0.30000000000000004,0.8,1.2528429214354264
0.30000000000000004,0.7000000000000001,0.6426854154703957
0.30000000000000004,0.6000000000000001,0.3229338434269935
0.30000000000000004,0.5,0.0
0.30000000000000004,0.4,0.0
0.30000000000000004,0.30000000000000004,0.0
0.30000000000000004,0.2,0.0
0.30000000000000004,0.1,0.0
0.30000000000000004,0.0,0.0
0.4,1.0,2921.6844441629514
0.4,0.9,1806.306981228927
0.4,0.8,1.5564287116020536
0.4,0.7000000000000001,0.6243290844996162
0.4,0.6000000000000001,0.27081666204211385
0.4,0.5,0.0
0.4,0.4,0.0
0.4,0.30000000000000004,0.0
0.4,0.2,0.0
0.4,0.1,0.0
0.4,0.0,0.0
0.5,1.0,4188.094955130222
0.5,0.9,2617.857534299425
0.5,0.8,1.7685486944025506
0.5,0.7000000000000001,0.7737257733246692
0.5,0.6000000000000001,0.3380029714747324
0.5,0.5,0.048886121423397
0.5,0.4,0.0
0.5,0.30000000000000004,0.0
0.5,0.2,0.0
0.5,0.1,0.0
0.5,0.0,0.0
0.6000000000000001,1.0,4218.401958197397
0.6000000000000001,0.9,2184.03049837889
0.6000000000000001,0.8,3.111744189749667
0.6000000000000001,0.7000000000000001,0.834901973489786
0.6000000000000001,0.6000000000000001,0.2898524560431928
0.6000000000000001,0.5,0.03152440443368183
0.6000000000000001,0.4,0.0
0.6000000000000001,0.30000000000000004,0.0
0.6000000000000001,0.2,0.0
0.6000000000000001,0.1,0.0
0.6000000000000001,0.0,0.0
0.7000000000000001,1.0,3077.099438241095
0.7000000000000001,0.9,2716.552840564061
0.7000000000000001,0.8,1.2499970092832375
0.7000000000000001,0.7000000000000001,0.6750596073522586
0.7000000000000001,0.6000000000000001,0.22380983557468584
0.7000000000000001,0.5,0.0
0.7000000000000001,0.4,0.0
0.7000000000000001,0.30000000000000004,0.0
0.7000000000000001,0.2,0.0
0.7000000000000001,0.1,0.0
0.7000000000000001,0.0,0.0
0.8,1.0,2021.2129615348779
0.8,0.9,4.007179112964496
0.8,0.8,0.9943371218073777
0.8,0.7000000000000001,0.6701871174796058
0.8,0.6000000000000001,0.303998917822655
0.8,0.5,0.0
0.8,0.4,0.0
0.8,0.30000000000000004,0.0
0.8,0.2,0.0
0.8,0.1,0.0
0.8,0.0,0.0
0.9,1.0,1908.2224637474096
0.9,0.9,2.537426757721982
0.9,0.8,1.4695016178755198
0.9,0.7000000000000001,0.5449359948094683
0.9,0.6000000000000001,0.2586183066638965
0.9,0.5,0.0
0.9,0.4,0.0
0.9,0.30000000000000004,0.0
0.9,0.2,0.0
0.9,0.1,0.0
0.9,0.0,0.0
1.0,1.0,1.110721138416971
1.0,0.9,0.9027457546401888
1.0,0.8,0.6961870191954771
1.0,0.7000000000000001,0.4463303629747676
1.0,0.6000000000000001,0.2409785639601607
1.0,0.5,0.018433187675197693
1.0,0.4,0.0
1.0,0.30000000000000004,0.0
1.0,0.2,0.0
1.0,0.1,0.0
1.0,0.0,0.0
