q_test,t_risk,j_pred
0.0,1.0,11.816472604136345
0.0,0.9,9.711599926187807
0.0,0.8,10.842228448556696
0.0,0.7000000000000001,9.992623244626998
0.0,0.6000000000000001,9.6753204393133
0.0,0.5,8.907753626738657
0.0,0.4,7.41577831282496
0.0,0.30000000000000004,5.24253854830532
0.0,0.2,2.4604410304098128
0.0,0.1,0.0
0.0,0.0,0.0
0.1,1.0,20.482958098336997
0.1,0.9,16.16147774343165
0.1,0.8,18.635007436682884
0.1,0.7000000000000001,14.390555847947804
0.1,0.6000000000000001,11.52068079227846
0.1,0.5,10.069816849759397
0.1,0.4,8.956970427415298
0.1,0.30000000000000004,6.284090269514286
0.1,0.2,3.145671329446434
0.1,0.1,0.0
0.1,0.0,0.0
0.2,1.0,100.0
0.2,0.9,100.0
0.2,0.8,41.167781789277186
0.2,0.7000000000000001,28.861190857760416
0.2,0.6000000000000001,21.575554598652655
0.2,0.5,12.226968441110904
0.2,0.4,11.068941797155595
0.2,0.30000000000000004,7.132734534746705
0.2,0.2,3.321187783913824
0.2,0.1,0.0
0.2,0.0,0.0
0.30000000000000004,1.0,100.0
0.30000000000000004,0.9,100.0
0.30000000000000004,0.8,100.0
0.30000000000000004,0.7000000000000001,100.0
0.30000000000000004,0.6000000000000001,100.0
0.30000000000000004,0.5,36.02250373600426
0.30000000000000004,0.4,16.920287051373062
0.30000000000000004,0.30000000000000004,10.332811413768635
0.30000000000000004,0.2,3.9870900057643266
0.30000000000000004,0.1,0.0
0.30000000000000004,0.0,0.0
0.4,1.0,100.0
0.4,0.9,100.0
0.4,0.8,100.0
0.4,0.7000000000000001,100.0
0.4,0.6000000000000001,100.0
0.4,0.5,100.0
0.4,0.4,18.05743977209513
0.4,0.30000000000000004,13.459437390325434
0.4,0.2,4.555676154477373
0.4,0.1,0.0
0.4,0.0,0.0
0.5,1.0,100.0
0.5,0.9,100.0
0.5,0.8,100.0
0.5,0.7000000000000001,100.0
0.5,0.6000000000000001,100.0
0.5,0.5,100.0
0.5,0.4,100.0
0.5,0.30000000000000004,22.40380381981477
0.5,0.2,7.2087373700456645
0.5,0.1,0.0
0.5,0.0,0.0
0.6000000000000001,1.0,100.0
0.6000000000000001,0.9,100.0
0.6000000000000001,0.8,100.0
0.6000000000000001,0.7000000000000001,100.0
0.6000000000000001,0.6000000000000001,100.0
0.6000000000000001,0.5,100.0
0.6000000000000001,0.4,100.0
0.6000000000000001,0.30000000000000004,100.0
0.6000000000000001,0.2,8.934697189462476
0.6000000000000001,0.1,0.0
0.6000000000000001,0.0,0.0
0.7000000000000001,1.0,100.0
0.7000000000000001,0.9,100.0
0.7000000000000001,0.8,100.0
0.7000000000000001,0.7000000000000001,100.0
0.7000000000000001,0.6000000000000001,100.0
0.7000000000000001,0.5,100.0
0.7000000000000001,0.4,100.0
0.7000000000000001,0.30000000000000004,100.0
0.7000000000000001,0.2,17.48801112455299
0.7000000000000001,0.1,0.0
0.7000000000000001,0.0,0.0
0.8,1.0,100.0
0.8,0.9,100.0
0.8,0.8,100.0
0.8,0.7000000000000001,100.0
0.8,0.6000000000000001,100.0
0.8,0.5,100.0
0.8,0.4,100.0
0.8,0.30000000000000004,100.0
0.8,0.2,100.0
0.8,0.1,0.0
0.8,0.0,0.0
0.9,1.0,100.0
0.9,0.9,100.0
0.9,0.8,100.0
0.9,0.7000000000000001,100.0
0.9,0.6000000000000001,100.0
0.9,0.5,100.0
0.9,0.4,100.0
0.9,0.30000000000000004,100.0
0.9,0.2,100.0
0.9,0.1,0.0
0.9,0.0,0.0
1.0,1.0,100.0
1.0,0.9,100.0
1.0,0.8,100.0
1.0,0.7000000000000001,100.0
1.0,0.6000000000000001,100.0
1.0,0.5,100.0
1.0,0.4,100.0
1.0,0.30000000000000004,100.0
1.0,0.2,100.0
1.0,0.1,0.0
1.0,0.0,0.0
