q_test,t_risk,j_pred
0.0,1.0,1.0828086339313099
0.0,0.9,0.9103632327741499
0.0,0.8,0.768804621786633
0.0,0.7000000000000001,0.5504534140083753
0.0,0.6000000000000001,0.2365171578384998
0.0,0.5,0.0
0.0,0.4,0.0
0.0,0.30000000000000004,0.0
0.0,0.2,0.0
0.0,0.1,0.0
0.0,0.0,0.0
0.1,1.0,100.0
0.1,0.9,1.2670821083779977
0.1,0.8,0.8450296545259478
0.1,0.7000000000000001,0.5878926257968772
0.1,0.6000000000000001,0.21693567827572385
0.1,0.5,0.0
0.1,0.4,0.0
0.1,0.30000000000000004,0.0
0.1,0.2,0.0
0.1,0.1,0.0
0.1,0.0,0.0
0.2,1.0,100.0
0.2,0.9,100.0
0.2,0.8,1.0832530154787137
0.2,0.7000000000000001,0.7972371200969042
0.2,0.6000000000000001,0.25026828513911875
0.2,0.5,0.0
0.2,0.4,0.0
0.2,0.30000000000000004,0.0
0.2,0.2,0.0
0.2,0.1,0.0
0.2,0.0,0.0
0.30000000000000004,1.0,100.0
0.30000000000000004,0.9,100.0
0.30000000000000004,0.8,100.0
0.30000000000000004,0.7000000000000001,0.7040967236400223
0.30000000000000004,0.6000000000000001,0.22736669414059346
0.30000000000000004,0.5,0.0
0.30000000000000004,0.4,0.0
0.30000000000000004,0.30000000000000004,0.0
0.30000000000000004,0.2,0.0
0.30000000000000004,0.1,0.0
0.30000000000000004,0.0,0.0
0.4,1.0,100.0
0.4,0.9,69.62848889895146
0.4,0.8,1.3106728460601655
0.4,0.7000000000000001,0.7749076666311076
0.4,0.6000000000000001,0.3438359861256881
0.4,0.5,0.0
0.4,0.4,0.0
0.4,0.30000000000000004,0.0
0.4,0.2,0.0
0.4,0.1,0.0
0.4,0.0,0.0
0.5,1.0,100.0
0.5,0.9,100.0
0.5,0.8,100.0
0.5,0.7000000000000001,0.6788438085820135
0.5,0.6000000000000001,0.31712529694756114
0.5,0.5,0.0
0.5,0.4,0.0
0.5,0.30000000000000004,0.0
0.5,0.2,0.0
0.5,0.1,0.0
0.5,0.0,0.0
0.6000000000000001,1.0,100.0
0.6000000000000001,0.9,100.0
0.6000000000000001,0.8,2.220775087522681
0.6000000000000001,0.7000000000000001,0.7341535724532727
0.6000000000000001,0.6000000000000001,0.31950012974287373
0.6000000000000001,0.5,0.0
0.6000000000000001,0.4,0.0
0.6000000000000001,0.30000000000000004,0.0
0.6000000000000001,0.2,0.0
0.6000000000000001,0.1,0.0
0.6000000000000001,0.0,0.0
0.7000000000000001,1.0,100.0
0.7000000000000001,0.9,100.0
0.7000000000000001,0.8,1.414340887766435
0.7000000000000001,0.7000000000000001,0.6770639615892504
0.7000000000000001,0.6000000000000001,0.31877591845576075
0.7000000000000001,0.5,0.0
0.7000000000000001,0.4,0.0
0.7000000000000001,0.30000000000000004,0.0
0.7000000000000001,0.2,0.0
0.7000000000000001,0.1,0.0
0.7000000000000001,0.0,0.0
0.8,1.0,100.0
0.8,0.9,100.0
0.8,0.8,2.5631469219798295
0.8,0.7000000000000001,0.6927076074325763
0.8,0.6000000000000001,0.23313767506386154
0.8,0.5,0.0
0.8,0.4,0.0
0.8,0.30000000000000004,0.0
0.8,0.2,0.0
0.8,0.1,0.0
0.8,0.0,0.0
0.9,1.0,100.0
0.9,0.9,2.0682767217391045
0.9,0.8,1.104846116486487
0.9,0.7000000000000001,0.5973323573876991
0.9,0.6000000000000001,0.23575902364709614
0.9,0.5,0.0
0.9,0.4,0.0
0.9,0.30000000000000004,0.0
0.9,0.2,0.0
0.9,0.1,0.0
0.9,0.0,0.0
1.0,1.0,1.0744528864569112
1.0,0.9,0.9175001211532964
1.0,0.8,0.7216929586086382
1.0,0.7000000000000001,0.4941027706621363
1.0,0.6000000000000001,0.16760524038625682
1.0,0.5,0.026079114919574858
1.0,0.4,0.0
1.0,0.30000000000000004,0.0
1.0,0.2,0.0
1.0,0.1,0.0
1.0,0.0,0
